Medicine_ID,Counterfeit_Weight,DistArea_ID,Active_Since,Medicine_MRP,Medicine_Type,SidEffect_Level,Availability_rating,Area_Type,Area_City_Type,Area_dist_level,Counterfeit_Sales
DBL51,8.28,Area018,2007,92.7934,Cardiac,mild,0.0542732359999999,Industrial,Tier 3,Medium,1095.7208
SYW15,6.605,Area049,1997,192.1608,Antimalarial,critical,0.06010181,DownTown,Tier 1,Medium,4707.02
YXI41,,Area027,1983,206.4136,Hreplacements,mild,0.130065801,CityLimits,Tier 3,Medium,6139.8216
FHS14,10.07,Area046,1995,184.2422,Antibiotics,critical,0.059771477,DownTown,Tier 1,Small,3216.9596
ZEO73,5.91,Area017,2005,182.8396,Statins,mild,0.136346085,DownTown,Tier 2,Unknown,3776.2316
EHP38,16.8,Area045,2000,155.9418,Hreplacements,critical,0.1702466339999999,DownTown,Tier 2,Unknown,2320.127
HQH91,,Area019,1983,155.047,MuscleRelaxants,mild,0.223596485,MidTownResidential,Tier 1,Small,256.147
LKG52,21.9,Area010,1996,129.8756,Mstablizers,mild,0.15193181,MidTownResidential,Tier 3,Unknown,234.1756
MSX11,12.8,Area045,2000,139.5626,Tranquilizers,mild,0.030678008,DownTown,Tier 2,Unknown,1818.1138
LME51,21.8,Area013,1985,101.0172,Antifungal,mild,0.154674844,DownTown,Tier 3,High,1718.9096
DRX83,10.4,Area017,2005,125.7518,Antiseptics,mild,0.013,DownTown,Tier 2,Unknown,2503.8878
IGQ78,10.495,Area046,1995,93.6566,OralContraceptives,critical,0.0770141729999999,DownTown,Tier 1,Small,1550.4622
ITH16,7.05,Area045,2000,126.6176,Antipyretics,critical,0.088322658,DownTown,Tier 2,Unknown,2632.3872
RSY89,14.95,Area035,2002,66.793,Tranquilizers,mild,0.090219509,DownTown,Tier 2,Small,622.337
AUG42,14.4,Area017,2005,84.1354,Antipyretics,mild,0.088363922,DownTown,Tier 2,Unknown,2069.1204
VRD44,,Area027,1983,202.5478,Stimulants,mild,0.101828418,CityLimits,Tier 3,Medium,8056.6598
SSW11,20.4,Area035,2002,157.9418,Antibiotics,critical,0.038867261,DownTown,Tier 2,Small,1584.418
UDQ66,17.8,Area017,2005,218.5638,Cardiac,mild,0.087245348,DownTown,Tier 2,Unknown,4875.4674
CUP12,12.95,Area049,1997,198.524,Antibiotics,mild,0.0535778779999999,DownTown,Tier 1,Medium,1417.9679999999998
VOR91,21.0,Area013,1985,66.293,Antibiotics,mild,0.066178425,DownTown,Tier 3,High,1018.488
TRX84,,Area027,1983,227.9482,Antipyretics,critical,0.086562475,CityLimits,Tier 3,Medium,3398.723
IBY35,14.95,Area017,2005,240.9668,Antacids,mild,0.029001434,DownTown,Tier 2,Unknown,1955.9344
XRI86,15.3,Area045,2000,156.6786,Antipyretics,critical,0.042782937,DownTown,Tier 2,Unknown,979.8716
KLQ71,,Area019,1983,98.7172,Cardiac,critical,0.03879577,MidTownResidential,Tier 1,Small,202.2172
SZA88,22.05,Area013,1985,134.47299999999998,Antibiotics,mild,0.037129332,DownTown,Tier 3,High,3069.152
PCZ11,6.81,Area035,2002,107.0726,Tranquilizers,mild,0.047467286,DownTown,Tier 2,Small,2755.5602
DMY13,17.3,Area013,1985,238.6668,Antiseptics,mild,0.085608647,DownTown,Tier 3,High,5411.4364
GYT13,7.935,Area010,1996,183.4396,Antiseptics,mild,0.058308629,MidTownResidential,Tier 3,Unknown,461.8792
EBV12,13.45,Area013,1985,234.7404,Tranquilizers,mild,0.15792016,DownTown,Tier 3,High,1913.3232
QTR25,9.995,Area049,1997,105.8094,Antiseptics,mild,0.132721451,DownTown,Tier 1,Medium,1350.7222
OOB26,8.945,Area046,1995,52.1112,Hreplacements,critical,0.013,DownTown,Tier 1,Small,1007.8352
ZEE32,,Area019,1983,266.6672,Hreplacements,mild,0.169304192,MidTownResidential,Tier 1,Small,368.6672
JVE40,,Area019,1983,136.102,Antimalarial,mild,0.059994717,MidTownResidential,Tier 1,Small,366.004
YOP62,,Area019,1983,102.5778,Cardiac,mild,0.225293753,MidTownResidential,Tier 1,Small,582.389
PYY23,14.1,Area013,1985,236.2404,Antimalarial,critical,0.036511371,DownTown,Tier 3,High,5063.8888
HMA13,11.695,Area018,2007,126.6176,Mstablizers,mild,0.043281543,Industrial,Tier 3,Medium,1372.6936
ZCZ64,,Area027,1983,92.0618,MuscleRelaxants,mild,0.033460284,CityLimits,Tier 3,Medium,2288.1686
THL13,16.4,Area017,2005,155.0786,Antibiotics,critical,0.1134230859999999,DownTown,Tier 2,Unknown,2713.6148
SKK32,13.4,Area035,2002,188.866,Statins,mild,0.029823566,DownTown,Tier 2,Small,3888.086
IAR88,14.8,Area049,1997,201.2872,Analgesics,mild,0.107366079,DownTown,Tier 1,Medium,2949.308
AKD11,,Area027,1983,241.901,Mstablizers,mild,0.04823927,CityLimits,Tier 3,Medium,6085.226
GMC11,9.57,Area046,1995,195.1924,Analgesics,critical,0.140927931,DownTown,Tier 1,Small,4555.2176
HQM74,11.495,Area035,2002,119.5886,Cardiac,mild,0.139359196,DownTown,Tier 2,Small,1447.2632
EZH74,8.69,Area018,2007,261.6066,Antiseptics,mild,0.106160853,Industrial,Tier 3,Medium,1117.0264
YJC10,12.65,Area017,2005,178.679,Antibiotics,critical,0.018561798,DownTown,Tier 2,Unknown,3338.801
FIA79,19.3,Area046,1995,181.4422,Antiseptics,mild,0.060377053,DownTown,Tier 1,Small,3044.5174
LOK28,,Area027,1983,132.7388,Statins,mild,0.055086652,CityLimits,Tier 3,Medium,5561.9072
UMO34,21.65,Area017,2005,242.6958,Antibiotics,critical,0.027909465,DownTown,Tier 2,Unknown,6189.0908
ZYP12,9.485,Area017,2005,60.2692,Antibiotics,mild,0.059747071,DownTown,Tier 2,Unknown,950.5764
NAQ53,,Area027,1983,160.2708,Antiseptics,mild,0.041459761,CityLimits,Tier 3,Medium,4476.6532
CNO62,16.4,Area045,2000,157.5076,OralContraceptives,mild,0.039046138,DownTown,Tier 2,Unknown,1886.6912
VQT88,,Area027,1983,100.9462,Antibiotics,mild,0.1116290619999999,CityLimits,Tier 3,Medium,2519.2012
KTH72,,Area027,1983,202.7478,Hreplacements,mild,0.062066248,CityLimits,Tier 3,Medium,9025.3988
OJL17,,Area019,1983,140.33100000000002,Tranquilizers,mild,0.063535312,MidTownResidential,Tier 1,Small,242.831
HJY10,13.95,Area049,1997,62.1324,Antimalarial,mild,0.0825329009999999,DownTown,Tier 1,Medium,1203.5804
OZE92,17.55,Area013,1985,101.4804,Cardiac,mild,0.091103689,DownTown,Tier 3,High,2042.4884
PNR62,13.6,Area018,2007,116.5938,Analgesics,mild,0.082742672,Industrial,Tier 3,Medium,1828.1008
KVS72,21.0,Area018,2007,114.899,Antimalarial,critical,0.031098194,Industrial,Tier 3,Medium,422.597
WVX10,13.6,Area046,1995,201.153,Antiseptics,mild,0.065502049,DownTown,Tier 1,Small,4477.319
PZL14,10.4,Area010,1996,58.3718,Antiseptics,mild,0.147393836,MidTownResidential,Tier 3,Unknown,160.2718
IBY35,,Area027,1983,238.8668,Antacids,mild,0.02883438,CityLimits,Tier 3,Medium,3338.1352
ANT78,22.4,Area013,1985,156.4786,Antiseptics,mild,0.041984804,DownTown,Tier 3,High,3147.0506
RKU85,11.9,Area013,1985,243.9642,Antipyretics,mild,0.069748659,DownTown,Tier 3,High,4063.1914
YLO35,11.8,Area045,2000,177.4842,Hreplacements,critical,0.02400413,DownTown,Tier 2,Unknown,3097.1156
CNN14,21.3,Area046,1995,123.6544,Tranquilizers,mild,0.07148134,DownTown,Tier 1,Small,2685.6512
MGD92,20.4,Area010,1996,223.1586,Antibiotics,mild,0.077547828,MidTownResidential,Tier 3,Unknown,535.1172
QSY87,7.89,Area017,2005,129.4098,Antiseptics,mild,0.013,DownTown,Tier 2,Unknown,1077.0784
EEG76,15.3,Area045,2000,62.664,Cardiac,critical,0.044330907,DownTown,Tier 2,Unknown,858.696
AKE16,19.15,Area010,1996,206.8794,Antacids,mild,0.013,MidTownResidential,Tier 3,Unknown,698.2382
EDM63,18.9,Area049,1997,54.2402,Antacids,critical,0.0290526,DownTown,Tier 1,Medium,1399.3256
ZTV97,21.8,Area010,1996,85.3696,OralContraceptives,mild,0.073847634,MidTownResidential,Tier 3,Unknown,262.1392
HYS22,19.65,Area013,1985,162.234,Antipyretics,mild,0.013,DownTown,Tier 3,High,419.268
VLR87,6.22,Area013,1985,209.1084,Mstablizers,mild,0.058916788,DownTown,Tier 3,High,3089.126
TPX20,10.3,Area013,1985,87.5644,Cardiac,mild,0.092279489,DownTown,Tier 3,High,1448.5948
MQO56,9.665,Area017,2005,49.9506,Statins,mild,0.085252888,DownTown,Tier 2,Unknown,947.9132
LZC90,,Area027,1983,168.3604,Antiseptics,mild,0.041410335,CityLimits,Tier 3,Medium,4708.3516
XDV33,8.875,Area035,2002,208.4768,Antipyretics,mild,0.068379648,DownTown,Tier 2,Small,5434.0736
YRD11,13.95,Area013,1985,171.8578,Analgesics,mild,0.0758379679999999,DownTown,Tier 3,High,2519.867
UDQ66,,Area027,1983,215.6638,Cardiac,mild,0.086470234,CityLimits,Tier 3,Medium,5496.6588
YGZ30,,Area027,1983,113.2332,Stimulants,critical,0.107109236,CityLimits,Tier 3,Medium,3804.1952
PQM96,18.0,Area010,1996,74.6168,Antifungal,critical,0.104437584,MidTownResidential,Tier 3,Unknown,240.8336
WQX80,,Area027,1983,126.0518,Antibiotics,mild,0.184761077,CityLimits,Tier 3,Medium,5464.0346
RXG14,11.1,Area049,1997,127.4492,Antibiotics,critical,0.076916425,DownTown,Tier 1,Medium,2893.3808
VOR91,21.0,Area010,1996,64.893,Antibiotics,mild,0.102083914,MidTownResidential,Tier 3,Unknown,169.593
HPD36,19.4,Area049,1997,168.4288,Antipyretics,mild,0.19124575,DownTown,Tier 1,Medium,3412.7048
WJW67,8.05,Area018,2007,105.9752,Antipyretics,critical,0.1216799059999999,Industrial,Tier 3,Medium,1359.3776
DMB13,6.475,Area017,2005,43.8874,Tranquilizers,mild,0.043527166,DownTown,Tier 2,Unknown,748.1732
PHE51,16.1,Area010,1996,203.8794,Tranquilizers,mild,0.0456061809999999,MidTownResidential,Tier 3,Unknown,503.1588
YQV90,10.995,Area049,1997,254.9144,OralContraceptives,critical,0.060503318,DownTown,Tier 1,Medium,3298.1872
LZN14,8.235,Area046,1995,113.8332,Hreplacements,critical,0.054282286,DownTown,Tier 1,Small,1343.3984
ORX66,14.95,Area045,2000,196.324,Antipyretics,critical,0.091946455,DownTown,Tier 2,Unknown,1231.544
KIE51,9.48,Area046,1995,152.9154,Antiseptics,mild,0.026130031,DownTown,Tier 1,Small,822.077
MYA10,20.05,Area013,1985,218.6954,Antiseptics,mild,0.02335692,DownTown,Tier 3,High,2822.1402
TIG61,,Area027,1983,93.525,Antipyretics,mild,0.062623924,CityLimits,Tier 3,Medium,1611.05
DHT27,8.775,Area017,2005,253.7854,Antibiotics,mild,0.162360698,DownTown,Tier 2,Unknown,1804.7978
XHP42,15.45,Area010,1996,254.2828,Hreplacements,mild,0.07137308,MidTownResidential,Tier 3,Unknown,844.0484
VIC83,,Area019,1983,162.6998,Hreplacements,mild,0.260321039,MidTownResidential,Tier 1,Small,266.7998
PAL64,19.0,Area010,1996,195.7266,Hreplacements,mild,0.208068226,MidTownResidential,Tier 3,Unknown,297.4266
HST20,18.5,Area046,1995,172.4578,Antimalarial,mild,0.169298858,DownTown,Tier 1,Small,1396.6624
JZA46,14.3,Area035,2002,209.7426,Cardiac,critical,0.096498083,DownTown,Tier 2,Small,706.2278
CPQ12,19.55,Area049,1997,270.8962,Hreplacements,mild,0.09084544,DownTown,Tier 1,Medium,3997.943
XEI37,7.955,Area046,1995,220.3586,Antibiotics,mild,0.029958832,DownTown,Tier 1,Small,4334.1720000000005
UMX23,18.9,Area046,1995,122.0202,Antimalarial,critical,0.089121831,DownTown,Tier 1,Small,1238.202
SZO25,11.995,Area017,2005,187.8712,Stimulants,critical,0.074008889,DownTown,Tier 2,Unknown,2749.568
NGK10,6.935,Area018,2007,160.205,Mstablizers,mild,0.116693024,Industrial,Tier 3,Medium,2659.685
GKZ14,7.245,Area046,1995,139.0652,Antiseptics,mild,0.106026207,DownTown,Tier 1,Small,629.6608
LGB10,12.8,Area049,1997,199.553,Antibiotics,mild,0.085994847,DownTown,Tier 1,Medium,1441.271
LYV84,7.355,Area045,2000,171.192,Antibiotics,mild,0.038460232,DownTown,Tier 2,Unknown,2030.504
AEN20,8.8,Area035,2002,133.5072,Cardiac,mild,0.06374138,DownTown,Tier 2,Small,1950.608
VSL11,13.1,Area035,2002,230.6772,Antipyretics,critical,0.120036943,DownTown,Tier 2,Small,4560.544
VPO73,,Area027,1983,123.0176,OralContraceptives,critical,0.037088444,CityLimits,Tier 3,Medium,1945.2816
EIJ11,16.4,Area035,2002,248.4248,Antiseptics,mild,0.072313603,DownTown,Tier 2,Small,4379.4464
SLH10,14.6,Area017,2005,73.5536,Antibiotics,critical,0.084856726,DownTown,Tier 2,Unknown,1460.5792
IAS38,11.4,Area013,1985,206.8084,Tranquilizers,mild,0.067585372,DownTown,Tier 3,High,708.2252
RME82,,Area027,1983,151.8838,Antibiotics,critical,0.183246782,CityLimits,Tier 3,Medium,3344.1274
HNR10,9.235,Area013,1985,273.391,Antiseptics,mild,0.044710329,DownTown,Tier 3,High,5635.811
MCQ36,11.495,Area045,2000,249.7538,Antifungal,critical,0.0306669779999999,DownTown,Tier 2,Unknown,4679.7222
HWG64,9.165,Area013,1985,176.3526,Stimulants,mild,0.07400886,DownTown,Tier 3,High,3730.9572
LAW13,7.18,Area017,2005,113.399,OralContraceptives,critical,0.043418998,DownTown,Tier 2,Unknown,1454.5870000000002
WDW84,,Area027,1983,161.1024,Mstablizers,mild,0.143867413,CityLimits,Tier 3,Medium,4515.2696
LSU81,20.15,Area046,1995,204.9136,Antiseptics,mild,0.18058389,DownTown,Tier 1,Small,2834.7904
DGV14,16.15,Area013,1985,271.591,Antipyretics,critical,0.032495051,DownTown,Tier 3,High,10369.649
BAE68,5.89,Area035,2002,122.286,Analgesics,mild,0.083767174,DownTown,Tier 2,Small,905.302
KON13,14.6,Area046,1995,75.251,Hreplacements,mild,0.022581155,DownTown,Tier 1,Small,1757.526
LLH93,15.65,Area046,1995,241.5984,OralContraceptives,critical,0.1039136419999999,DownTown,Tier 1,Small,3356.7776
QGQ10,17.8,Area046,1995,111.6332,Antibiotics,critical,0.0927135759999999,DownTown,Tier 1,Small,1650.9979999999998
HNW92,18.3,Area045,2000,230.8114,Antipyretics,mild,0.068545797,DownTown,Tier 2,Unknown,5434.0736
BON13,,Area019,1983,166.6946,Antimalarial,critical,0.290459381,MidTownResidential,Tier 1,Small,586.3838
PQM14,18.5,Area013,1985,232.8088,Antibiotics,critical,0.069941603,DownTown,Tier 3,High,5482.0112
TRZ10,13.9,Area046,1995,132.6414,Tranquilizers,mild,0.077110725,DownTown,Tier 1,Small,356.6828
NBV27,7.97,Area018,2007,100.8514,Hreplacements,critical,0.013,Industrial,Tier 3,Medium,1087.0654
QUY11,10.365,Area018,2007,105.6094,OralContraceptives,mild,0.128799592,Industrial,Tier 3,Medium,1826.7692
LRF62,13.6,Area018,2007,126.7834,Hreplacements,mild,0.013,Industrial,Tier 3,Medium,1955.9344
UJO95,19.05,Area049,1997,122.7544,Mstablizers,mild,0.08907772,DownTown,Tier 1,Medium,2461.9424
POR18,,Area027,1983,188.237,Mstablizers,mild,0.091362484,CityLimits,Tier 3,Medium,6817.606
WXI33,16.4,Area010,1996,72.5194,Antibiotics,critical,0.170154813,MidTownResidential,Tier 3,Unknown,298.7582
STR65,13.95,Area045,2000,124.1202,MuscleRelaxants,mild,0.060333044,DownTown,Tier 2,Unknown,1913.3232
IKQ41,10.8,Area046,1995,195.6608,Hreplacements,critical,0.023917052,DownTown,Tier 1,Small,2134.3688
WLW19,6.475,Area035,2002,117.9622,Hreplacements,critical,0.042490377,DownTown,Tier 2,Small,2971.2794
VRD44,22.05,Area046,1995,203.7478,Stimulants,mild,0.1022606669999999,DownTown,Tier 1,Small,4956.695
UMG13,7.93,Area035,2002,66.1588,Hreplacements,critical,0.0239372289999999,DownTown,Tier 2,Small,914.6232
XIL11,10.8,Area010,1996,200.2872,Statins,mild,0.155425145,MidTownResidential,Tier 3,Unknown,869.3488
KIS14,10.8,Area035,2002,238.9668,OralContraceptives,critical,0.145521929,DownTown,Tier 2,Small,4259.6024
OWV84,19.55,Area035,2002,164.763,Antipyretics,critical,0.183795745,DownTown,Tier 2,Small,2303.482
IAP53,6.955,Area017,2005,154.3102,Analgesics,mild,0.189070535,DownTown,Tier 2,Unknown,1862.7224
JES16,10.3,Area049,1997,64.6614,Stimulants,critical,0.082196376,DownTown,Tier 1,Medium,831.3982
NAQ53,13.45,Area049,1997,159.3708,Antiseptics,mild,0.041642712,DownTown,Tier 1,Medium,1316.7664
ZSC82,13.9,Area045,2000,183.2764,Mstablizers,critical,0.0445987059999999,DownTown,Tier 2,Unknown,2346.0932
DDB57,15.6,Area046,1995,222.7586,Antimalarial,critical,0.062676157,DownTown,Tier 1,Small,3912.0548
UML60,21.9,Area035,2002,222.9244,Antipyretics,critical,0.043504756,DownTown,Tier 2,Small,3712.3148
GPT11,16.8,Area013,1985,153.14700000000002,Hreplacements,mild,0.116356186,DownTown,Tier 3,High,1687.6170000000002
MYA10,20.05,Area049,1997,218.1954,Antiseptics,mild,0.023381661,DownTown,Tier 1,Medium,2405.3494
SLY12,10.18,Area045,2000,162.8682,Statins,mild,0.099957199,DownTown,Tier 2,Unknown,1485.2138
BNO71,11.6,Area049,1997,201.953,Antibiotics,critical,0.071918844,DownTown,Tier 1,Medium,5426.084
YDR46,,Area027,1983,272.9226,Cardiac,mild,0.038702129,CityLimits,Tier 3,Medium,7249.7102
SYQ15,,Area027,1983,174.0526,Antiseptics,mild,0.028359722,CityLimits,Tier 3,Medium,2086.4312
GMV25,12.4,Area017,2005,202.0846,Antibiotics,mild,0.124298111,DownTown,Tier 2,Unknown,3170.3536
RVF12,13.45,Area045,2000,174.9184,Antacids,mild,0.03476755,DownTown,Tier 2,Unknown,3910.7232
